Executable,OMP_NUM_THREADS,OMP_PROC_BIND,OMP_SCHEDULE,Execution Time (s)
DRB045-doall1-orig-no,96,close,dynamic,0.5896451473236084
DRB045-doall1-orig-no,96,close,guided,0.3251509666442871
DRB045-doall1-orig-no,96,spread,static,0.32497477531433105
DRB045-doall1-orig-no,96,spread,dynamic,0.5760228633880615
DRB045-doall1-orig-no,96,spread,guided,0.326740026473999
DRB045-doall1-orig-no,128,true,static,0.325272798538208
DRB045-doall1-orig-no,128,true,dynamic,0.5759046077728271
DRB045-doall1-orig-no,128,true,guided,0.32753968238830566
DRB045-doall1-orig-no,128,false,static,0.3254356384277344
DRB045-doall1-orig-no,128,false,dynamic,0.5765736103057861
DRB045-doall1-orig-no,128,false,guided,0.47916102409362793
DRB045-doall1-orig-no,128,close,static,0.3251218795776367
DRB045-doall1-orig-no,128,close,dynamic,0.5911087989807129
DRB045-doall1-orig-no,128,close,guided,0.3288850784301758
DRB045-doall1-orig-no,128,spread,static,0.32491230964660645
DRB045-doall1-orig-no,128,spread,dynamic,0.5774989128112793
DRB045-doall1-orig-no,128,spread,guided,0.32741427421569824
DRB045-doall1-orig-no,160,true,static,0.32747411727905273
DRB045-doall1-orig-no,160,true,dynamic,0.6782352924346924
DRB045-doall1-orig-no,160,true,guided,0.325197696685791
DRB045-doall1-orig-no,160,false,static,0.3757164478302002
DRB045-doall1-orig-no,160,false,dynamic,0.640148401260376
DRB045-doall1-orig-no,160,false,guided,0.5791842937469482
DRB045-doall1-orig-no,160,close,static,0.33019065856933594
DRB045-doall1-orig-no,160,close,dynamic,0.679013729095459
DRB045-doall1-orig-no,160,close,guided,0.32807469367980957
DRB045-doall1-orig-no,160,spread,static,0.327770471572876
DRB045-doall1-orig-no,160,spread,dynamic,0.7290568351745605
DRB045-doall1-orig-no,160,spread,guided,0.32529520988464355
DRB045-doall1-orig-no,192,true,static,0.33221936225891113
DRB045-doall1-orig-no,192,true,dynamic,1.1013240814208984
DRB045-doall1-orig-no,192,true,guided,0.33582568168640137
DRB045-doall1-orig-no,192,false,static,0.5781583786010742
DRB045-doall1-orig-no,192,false,dynamic,0.7541570663452148
DRB045-doall1-orig-no,192,false,guided,0.6468932628631592
DRB045-doall1-orig-no,192,close,static,0.3388819694519043
DRB045-doall1-orig-no,192,close,dynamic,0.9980912208557129
DRB045-doall1-orig-no,192,close,guided,0.33462023735046387
DRB045-doall1-orig-no,192,spread,static,0.33405470848083496
DRB045-doall1-orig-no,192,spread,dynamic,1.0050499439239502
DRB045-doall1-orig-no,192,spread,guided,0.3330817222595215
DRB046-doall2-orig-no,4,true,static,1.3277976512908936
DRB046-doall2-orig-no,4,true,dynamic,2.3297486305236816
DRB046-doall2-orig-no,4,true,guided,1.3276357650756836
DRB046-doall2-orig-no,4,false,static,1.3286652565002441
DRB046-doall2-orig-no,4,false,dynamic,2.2309508323669434
DRB046-doall2-orig-no,4,false,guided,1.328294038772583
DRB046-doall2-orig-no,4,close,static,0.8270559310913086
DRB046-doall2-orig-no,4,close,dynamic,1.0774884223937988
DRB046-doall2-orig-no,4,close,guided,0.8269374370574951
DRB046-doall2-orig-no,4,spread,static,1.3280436992645264
DRB046-doall2-orig-no,4,spread,dynamic,2.330176830291748
DRB046-doall2-orig-no,4,spread,guided,1.327467679977417
DRB046-doall2-orig-no,8,true,static,1.0776519775390625
DRB046-doall2-orig-no,8,true,dynamic,2.7806408405303955
DRB046-doall2-orig-no,8,true,guided,1.077521800994873
DRB046-doall2-orig-no,8,false,static,1.0780293941497803
DRB046-doall2-orig-no,8,false,dynamic,2.5308339595794678
DRB046-doall2-orig-no,8,false,guided,1.0806376934051514
DRB046-doall2-orig-no,8,close,static,0.576697826385498
DRB046-doall2-orig-no,8,close,dynamic,1.3281974792480469
DRB046-doall2-orig-no,8,close,guided,0.5885095596313477
DRB046-doall2-orig-no,8,spread,static,1.0776591300964355
DRB046-doall2-orig-no,8,spread,dynamic,2.730440616607666
DRB046-doall2-orig-no,8,spread,guided,1.0773677825927734
DRB046-doall2-orig-no,16,true,static,1.0773563385009766
DRB046-doall2-orig-no,16,true,dynamic,3.3320324420928955
DRB046-doall2-orig-no,16,true,guided,1.0773823261260986
DRB046-doall2-orig-no,16,false,static,0.8777666091918945
DRB046-doall2-orig-no,16,false,dynamic,2.5809998512268066
DRB046-doall2-orig-no,16,false,guided,0.8276941776275635
DRB046-doall2-orig-no,16,close,static,0.5784592628479004
DRB046-doall2-orig-no,16,close,dynamic,1.8822343349456787
DRB046-doall2-orig-no,16,close,guided,0.8292248249053955
DRB046-doall2-orig-no,16,spread,static,1.0798194408416748
DRB046-doall2-orig-no,16,spread,dynamic,3.3328568935394287
DRB046-doall2-orig-no,16,spread,guided,1.0773289203643799
DRB046-doall2-orig-no,24,true,static,1.0770280361175537
DRB046-doall2-orig-no,24,true,dynamic,3.581552743911743
DRB046-doall2-orig-no,24,true,guided,1.0769445896148682
DRB046-doall2-orig-no,24,false,static,0.8273942470550537
DRB046-doall2-orig-no,24,false,dynamic,2.7813966274261475
DRB046-doall2-orig-no,24,false,guided,0.8278234004974365
DRB046-doall2-orig-no,24,close,static,0.6888809204101562
DRB046-doall2-orig-no,24,close,dynamic,2.1080870628356934
DRB046-doall2-orig-no,24,close,guided,0.7895359992980957
DRB046-doall2-orig-no,24,spread,static,1.0781128406524658
DRB046-doall2-orig-no,24,spread,dynamic,3.58139705657959
DRB046-doall2-orig-no,24,spread,guided,1.0769555568695068
DRB046-doall2-orig-no,32,true,static,1.0769975185394287
DRB046-doall2-orig-no,32,true,dynamic,3.8324365615844727
DRB046-doall2-orig-no,32,true,guided,1.0772452354431152
DRB046-doall2-orig-no,32,false,static,0.827446460723877
DRB046-doall2-orig-no,32,false,dynamic,2.831510305404663
DRB046-doall2-orig-no,32,false,guided,0.8273911476135254
DRB046-doall2-orig-no,32,close,static,0.751915693283081
DRB046-doall2-orig-no,32,close,dynamic,2.303452491760254
DRB046-doall2-orig-no,32,close,guided,0.8425419330596924
DRB046-doall2-orig-no,32,spread,static,1.0773844718933105
DRB046-doall2-orig-no,32,spread,dynamic,3.832179307937622
DRB046-doall2-orig-no,32,spread,guided,1.0771825313568115
DRB046-doall2-orig-no,40,true,static,0.8767452239990234
DRB046-doall2-orig-no,40,true,dynamic,3.0809412002563477
DRB046-doall2-orig-no,40,true,guided,1.0799157619476318
DRB046-doall2-orig-no,40,false,static,0.8282084465026855
DRB046-doall2-orig-no,40,false,dynamic,2.5821034908294678
DRB046-doall2-orig-no,40,false,guided,0.8780367374420166
DRB046-doall2-orig-no,40,close,static,0.8033649921417236
DRB046-doall2-orig-no,40,close,dynamic,2.2669270038604736
DRB046-doall2-orig-no,40,close,guided,0.843193531036377
DRB046-doall2-orig-no,40,spread,static,0.8264291286468506
DRB046-doall2-orig-no,40,spread,dynamic,3.0810022354125977
DRB046-doall2-orig-no,40,spread,guided,1.077136516571045
DRB046-doall2-orig-no,48,true,static,0.8269445896148682
DRB046-doall2-orig-no,48,true,dynamic,3.2813591957092285
DRB046-doall2-orig-no,48,true,guided,1.0796973705291748
DRB046-doall2-orig-no,48,false,static,0.8274374008178711
DRB046-doall2-orig-no,48,false,dynamic,2.748105049133301
DRB046-doall2-orig-no,48,false,guided,0.9387426376342773
DRB046-doall2-orig-no,48,close,static,0.7617032527923584
DRB046-doall2-orig-no,48,close,dynamic,2.594994306564331
DRB046-doall2-orig-no,48,close,guided,0.8297483921051025
DRB046-doall2-orig-no,48,spread,static,0.8289868831634521
DRB046-doall2-orig-no,48,spread,dynamic,3.0848305225372314
DRB046-doall2-orig-no,48,spread,guided,1.0768423080444336
DRB046-doall2-orig-no,64,true,static,0.8265554904937744
DRB046-doall2-orig-no,64,true,dynamic,3.832552433013916
DRB046-doall2-orig-no,64,true,guided,1.0772078037261963
DRB046-doall2-orig-no,64,false,static,0.8273847103118896
DRB046-doall2-orig-no,64,false,dynamic,3.3407530784606934
DRB046-doall2-orig-no,64,false,guided,0.9928689002990723
DRB046-doall2-orig-no,64,close,static,0.8292007446289062
DRB046-doall2-orig-no,64,close,dynamic,3.0846729278564453
DRB046-doall2-orig-no,64,close,guided,0.829526424407959
DRB046-doall2-orig-no,64,spread,static,0.8292124271392822
DRB046-doall2-orig-no,64,spread,dynamic,3.8359806537628174
DRB046-doall2-orig-no,64,spread,guided,1.0796639919281006
DRB046-doall2-orig-no,96,true,static,0.8294296264648438
DRB046-doall2-orig-no,96,true,dynamic,4.587937116622925
DRB046-doall2-orig-no,96,true,guided,1.3309576511383057
DRB046-doall2-orig-no,96,false,static,0.8634047508239746
DRB046-doall2-orig-no,96,false,dynamic,3.890934944152832
DRB046-doall2-orig-no,96,false,guided,1.1293776035308838
DRB046-doall2-orig-no,96,close,static,0.8365106582641602
DRB046-doall2-orig-no,96,close,dynamic,3.9236948490142822
